shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
BRASIL      ON      NM;2024-12-10T19:44:56,000Z;24,81;24,86;24,52;11088800;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-12-10T19:45:01,000Z;30,63;30,91;30,4;5265800;BPAC11;None
ISA ENERGIA PN      N1;2024-12-10T19:45:13,000Z;24,9;25,1;24,73;1811600;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-10T19:45:00,000Z;41,25;41,85;41,21;228700;ORVR3;1,9278731
ITAUSA      PN  EJB N1;2024-12-10T19:45:00,000Z;9,39;9,41;9,32;14900400;ITSA4;1,2947801
COPASA      ON      NM;2024-12-10T19:44:56,000Z;24,34;24,9;24,15;1423800;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-10T19:45:02,000Z;38,91;39,56;38,87;1206600;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-06T16:05:31,000Z;3,53;3,62;3,52;152000;FIQE3;0,4900955
TIM         ON      NM;2024-12-10T19:45:02,000Z;15,79;16,06;15,67;4446100;TIMS3;1,3174606
TELEF BRASILON;2024-12-10T19:45:00,000Z;51,26;51,78;51,02;1609300;VIVT3;3,2658407
PETZ        ON      NM;2024-12-10T19:43:49,000Z;4,05;4,06;3,8;6866400;PETZ3;0,0119488
SABESP      ON      NM;2024-12-10T19:45:01,000Z;91,44;92,27;90,7;1472200;SBSP3;13,6514839
FII RIZA TX CI  ER;2024-12-11T14:15:02,000Z;84,31;84,8;84,2;7040;RZTR11;None
FII HGCR PAXCI  ER;2024-12-10T19:45:05,000Z;90,09;92,38;89,86;24770;HGCR11;None
FII XP CRED CI  ER;2024-12-11T14:15:25,000Z;70,75;72;70,53;4104;XPCI11;None
FII MERITO ICI  ER;2024-12-11T14:12:30,000Z;84,43;84,9;83,53;2545;MFII11;None
FII TG ATIVOCI  ER;2024-12-11T14:13:15,000Z;87,35;88,4;87,01;13391;TGAR11;None
FII BC FUND CI;2024-12-11T14:14:56,000Z;40,22;40,27;40,11;3413;BRCR11;None
FII XP SELECCI  ER;2024-12-11T14:15:31,000Z;6,03;6,07;5,97;16553;XPSF11;None
FII BTLG    CI;2024-12-11T14:15:07,000Z;90,39;91,96;90,13;17839;BTLG11;None
FII VBI LOG CI  ER;2024-12-11T14:15:28,000Z;91,45;91,76;91;4245;LVBI11;None
FII VINCI LGCI  ER;2024-12-11T14:13:43,000Z;69,73;70,59;69,7;7053;VILG11;None
FII XP LOG  CI  ER;2024-12-11T14:15:08,000Z;90,6;91;89,81;9868;XPLG11;None
FII HEDGEBS CI  ERS;2024-12-11T14:13:40,000Z;180,79;181,99;180,77;3082;HGBS11;None
FII VINCI SCCI  ER;2024-12-11T14:13:27,000Z;87,46;88,88;86,51;12304;VISC11;None
FII XP MALLSCI  ES;2024-12-11T14:12:50,000Z;96,16;97,39;95,79;28714;XPML11;None
FII TRX REALCI  ER;2024-12-11T14:14:49,000Z;94,15;95;94,04;15782;TRXF11;None
BRASIL      ON      NM;2024-12-11T14:14:57,000Z;24,8;24,93;24,71;1628000;BBAS3;3,633902
